article_id,header,text,source,city_1,city_2,city_3,lang_1,lang_2,lang_3,role_1,role_2,role_3,perk_1,perk_2,perk_3
16758826,"JumpCloud | Boulder,Colorado, USA [avg 245 days/year of sunsh|ONSITE|   Directory-as-a-Service product in the cloud. Wo",,April 2018,,,,,,,,,,Onsite,,
16515611,"Skyscanner | full-time senior and lead hires | London, Barcelona, Edinburgh, Glasgow, Budapest, | ONSITE, VISA"," We're one of the biggest travel search products in the world. We have a unique position in the market and are continuing our incredible growth as a tech company. We'll soon be a top-100 website in the world by traffic. Hiring at an experienced level in lots of disciplines: backend with microservices & distributed systems, big data & data science & machine learning, full stack (modern frontend + api skills), designers, product, iOS & Android. Languages we like and have great tooling for: Java, Python, JavaScript & NodeJS. We have a number of offices in Europe, and are focusing on Scotland, London and Barcelona in particular. We want to hire great people to solve large-scale challenges and build industry-leading new products. In short, if you've got good software industry and tech company experience, know what best practices look like, and have the drive to improve product and people around you, we're interested. I see a lot of freedom, responsibility, accountability here. We have room to make decisions, move fast, and the encouragement to make things better. It's exciting. Please ping me an email at jakub.kadlubiec@skyscanner.net if you want me to refer you, and/or have questions. Permanent & onsite roles only. Relocation / visa assistance for senior roles.",March 2018,London,Barcelona,,Java,Python,JavaScript,,,,Onsite,Visa,
16736089,"Wepow | Guadalajara, MEXICO | ONSITE | VISA SPONSORSHIP | Full-time | Senior | Engineering | 420-780K MXN + Options"," <i>Who we are?</i> Today, Wepow helps hundreds of major brands worldwide; including adidas, Heineken, FOX, Walmart, make their recruitment process more effective through our asynchronous and live video interviewing platform. Backed by top Silicon Valley investors we believe in bringing the recruitment process to the video and mobile age on a global scale. <i>Why Wepow?</i> We’re a distributed company, our Engineering team is located in Guadalajara where we define and build our products. We’ve already surpassed the product-market fit phase and we’re growing, so you will have the chance to make an impact on how we define and scale our products. We’re currently working on a new project that is already validated, we created an MVP and are pushing it forward to beta, so you will have the chance to work on this new product and collaborate with our product team to bring it to life and delight our customers. <i>Language</i> English works for the work environment, however you might learn the basics of Spanish so you can communicate outside the office. <i>Positions</i> Front-end Senior Engineer, see more details and apply: Back-end Senior Engineer, see more details and apply:",April 2018,Guadalajara,,,,,,,,,Onsite,Visa,
16493078,"Gamer Network | Games Media | Brighton, UK | FULL-TIME ONSITE | Backend Web Developer (Python) Posting:"," Gamer Network is searching for a Backend Web Developer to join our experienced in-house Platform team. The Platform team is in the middle of an ambitious project to unify Gamer Network’s award winning family of games sites on to a single common platform, utilising cutting edge technologies to equip the company with a strong foundation for the future. This is the opportunity for the right candidate to be instrumental in shaping that platform. Our sites: eurogamer.net, rockpapershotgun.com, vg247.com, usgamer.net, gamesindustry.biz, egx.net and many more. Role Benefits: - Work on a network of sites that serve billions of pageviews per year. - A relaxed office environment well located near the North Laine area of Brighton and a short walk to the beach. - Passionate colleagues -- across games editorial, events and sales -- who are a pleasure to work with. - Flexible working. - The opportunity to attend company-wide retreats to help run our world-class EGX games events in London and Birmingham. Technologies: Python, Django, asyncio, node.js, rabbitmq, elasticsearch, Web services, service oriented architectures, microservices. We are looking for a candidate that is able to quickly get up to speed with any web technology, but you’ll have an advantage with experience in the technologies listed. Email: careers@gamer-network.net",March 2018,,,,Python,,,Developer,Web Developer,,Onsite,,
16497479,Semaphore | Engineering and Non-Engineering Roles | Remote | Full-time |," We're currently hiring a Technical Writer, Technical Support Engineer, React Developer and DevOps Engineer; see At Semaphore, we're on a mission to help developers move faster. Our way is to double down on great user experience and high performance, treat our customers as we’d like to be treated, and make continuous delivery practices more accessible to developers. We're bootstrapped, profitable, the team is ~20 people who love what they do. If you join you can make a big impact.",March 2018,,,,,,,Developer,Technical Support Engineer,,Remote,,
16738003,"Conductor  | Senior Software Developer and Product Manager | Full-time | New York, N | Onsite"," • Product: The best-in-class content marketing platform. • Why: Marketing is a 3 trillion dollar industry. We want to enable marketers to put customers first, and ditch their ads. • Traction: Just acquired by WeWork ( • Stack: Java, React.js, Kafka, MySQL, Kubernetes, AWS • Tech Challenges: Lots of data with strict publish guidelines. Migrating to a microservice architecture. • Values: People first - Contact - I'm Benjamin, a Technical Team Lead at Conductor. I found Conductor 4 years ago through a HR Hiring thread. Email: bshai@conductor.com",April 2018,New York,,,Java,,,,,,Onsite,,
16494743,"Sumo Logic | Backend Engineer | Warsaw, Poland | Onsite, Visa"," We do grep and top on steroids in the cloud. Huge scale, exciting tech (AWS, Scala, distributed systems)... <a href=""https://www.sumologic.com"" rel=""nofollow"">https://www.sumologic.com</a> Backend Engineer: Among other stuff, we would love to hire someone who would work on development excellence which will improve productivity of 100+ engineers (Continuous Deployment, Scala tooling, component based testing infrastructure).",March 2018,,,,Scala,,,,,,Onsite,Visa,
16737858,"Sift | Detroit, MI | Fulltime | ONSITE REMOTE INTERNS |"," At Sift, we build applications to help organizations better understand their people. We want organizations to feel more like closely knit teams, where everyone supports each other to achieve their shared mission. We’re just around 2 years old, but we’ve already secured 15,000+ users and over 20 clients. We’re proud to have Quicken Loans using our apps to better understand who makes up their amazing team. - Mid/Senior Backend (Node.js, Express - DevOps (AWS, Azure, moving to containers) (REMOTE possible) - Mid/Senior Frontend (React, React Native) (REMOTE possible) Shoot me an email if you have any questions or apply through our jobs site, Mat P, CTO, matp@justsift.com",April 2018,Detroit,,,,,,,,,Onsite,Remote,
16764280,"FiveAI autonomous vehicles | DevOps Engineer | ONSITE | Cambridge, Bristol or Edinburgh UK"," FiveAI is a fast growing start-up developing software for self-driving vehicles. Ideal experience would be: * Linux administration expertise (ideally CentOS/Ubuntu/CoreOS) * Configuration management (i.e. Chef/Puppet) * Strong programming skills (any language) * Networking protocols (Layer 2 - 7) * Virtualisation technologies (including containers) * Logging and monitoring tools (i.e. Elasticsearch) Other valuable experience: * Deploying and running HPC clusters * Job schedulers and scaling (i.e. Kubernetes) * Experience with Terraform and any other HashiCorp tools Could be based in any one of our offices in Cambridge, Bristol or Edinburgh Please apply at: C70C46498D@jobs.workablemail.com",April 2018,,,,,,,,,,Onsite,,
16497390,"Datadog | Software Engineers | ONSITE (Boston, New York City, Paris) and REMOTE | Full-time"," Datadog is a monitoring and tracing service for your infrastructure and services. We build our own tsdb, distributed tracing tools, cutting edge visualizations, and more. We move fast and are growing fast! We're mostly Go, Python, and React, on AWS, and moving to k8s. We're looking for people who can build systems at scale as we process tens of millions points per second. Let us know if that's you! <a href=""https://grnh.se/y5eqs7m31"" rel=""nofollow"">https://grnh.se/y5eqs7m31</a>",March 2018,New York,Paris,Boston,Python,Go,,,,,Onsite,Remote,
